haskell-asn1-types 0.3.2-94
haskell-async 2.2.1-7
haskell-attoparsec 0.13.2.2-48
haskell-base-compat 0.10.5-5
haskell-base64-bytestring 1.0.0.2-6
haskell-basement 0.0.10-3
haskell-bitarray 0.0.1.1-12
haskell-blaze-builder 0.4.1.0-8
haskell-blaze-html 0.9.1.1-21
haskell-blaze-markup 0.8.2.2-15
haskell-byteable 0.1.1-14
haskell-case-insensitive 1.2.1.0-1
haskell-cereal 0.5.8.0-3
haskell-cmark-gfm 0.2.0-2
haskell-cmdargs 0.10.20-8
haskell-colour 2.3.5-1
haskell-connection 0.3.0-1
haskell-cookie 0.4.4-8
haskell-cryptonite 0.25-40
haskell-data-default 0.7.1.1-22
haskell-data-default-class 0.1.2.0-13
haskell-data-default-instances-containers 0.0.1-25
haskell-data-default-instances-dlist 0.0.1-35
haskell-data-default-instances-old-locale 0.0.1-25
haskell-digest 0.0.1.2-14
haskell-dlist 0.8.0.6-2
haskell-doctemplates 0.2.2.1-73
haskell-erf 2.0.0.0-13
haskell-exceptions 0.10.2-2
haskell-glob 0.10.0-9
haskell-haddock-library 1.7.0-43
haskell-hashable 1.2.7.0-8
haskell-hourglass 0.2.12-17
haskell-hslua 1.0.3-4
haskell-hslua-module-text 0.2.1-2
haskell-hsyaml 0.1.2.0-1
haskell-http 4000.3.13-29
haskell-http-client 0.6.4-8
haskell-http-client-tls 0.3.5.3-115
haskell-http-types 0.12.3-13
haskell-hxt 9.3.1.16-16
haskell-hxt-charproperties 9.2.0.1-12
haskell-hxt-regex-xmlschema 9.2.0.3-16
haskell-hxt-unicode 9.0.2.4-12
haskell-integer-logarithms 1.0.3-2
haskell-ipynb 0.1-31
haskell-juicypixels 3.3.3-13
haskell-lexer 1.0.2-6
haskell-memory 0.14.18-20
haskell-mime-types 0.1.0.9-3
haskell-network 2.8.0.0-10
haskell-network-uri 2.6.1.0-18
haskell-old-locale 1.0.0.7-19
haskell-old-time 1.1.0.3-19
haskell-pandoc-types 1.17.5.4-28
haskell-pem 0.2.4-46
haskell-pretty-show 1.9.5-4
haskell-primitive 0.6.4.0-6
haskell-quickcheck 2.12.6.1-3
haskell-random 1.1-17
haskell-regex-base 0.93.2-38
haskell-regex-pcre 0.94.4-14
haskell-safe 0.3.17-7
haskell-scientific 0.3.6.2-13
haskell-sha 1.6.4.4-8
haskell-skylighting 0.7.7-17
haskell-skylighting-core 0.7.7-17
haskell-socks 0.6.0-1
haskell-split 0.2.3.3-11
haskell-streaming-commons 0.2.1.0-26
haskell-syb 0.7-11
haskell-tagged 0.8.6-6
haskell-tagsoup 0.14.8-1
haskell-temporary 1.3-27
haskell-texmath 0.11.2.2-16
haskell-tf-random 0.5-24
haskell-th-abstraction 0.2.11.0-3
haskell-time-locale-compat 0.1.1.5-6
haskell-tls 1.4.1-66
haskell-transformers-compat 0.6.5-1
haskell-unicode-transforms 0.3.5-4
haskell-unordered-containers 0.2.10.0-5
haskell-utf8-string 1.0.1.1-13
haskell-uuid-types 1.0.3-20
haskell-vector 0.12.0.3-4
haskell-x509 1.7.5-15
haskell-x509-store 1.6.7-14
haskell-x509-system 1.6.6-82
haskell-x509-validation 1.6.11-14
haskell-xml 1.3.14-19
haskell-zip-archive 0.4.1-5
haskell-zlib 0.6.2-8
haveged 1.9.4-3
hdf5 1.10.5-1
hdparm 9.58-1
hexchat 2.14.2-1
hicolor-icon-theme 0.17-1
hollywood 1.14-2
hplip 1:3.19.5-1
hspell 1.4-1
htop 2.2.0-2
http-parser 2.9.2-1
hunspell 1.7.0-2
hwids 20190316-1
hwinfo 21.60-2
hwloc 1.11.12-1
hyphen 2.8.8-2
i3-default-artwork 20180428-1
i3-gaps 4.16.1-1
i3-help 20180110-1
i3-scripts 20180701-1
i3-scrot 2-1
i3blocks 1.4-6
i3exit 20180529-1
i3lock-color 2.12-1
i3status-manjaro 2.12-1
iana-etc 20190504-1
icecast 2.4.3-3
icu 64.2-1
id3lib 3.8.3-17
ijs 0.35-2
