top - 20:19:01 up 2 days, 57 min,  1 user,  load average: 1,90, 2,03, 1,77
Tasks: 161 total,   2 running, 159 sleeping,   0 stopped,   0 zombie
%Cpu(s): 11,1 us, 13,9 sy,  0,0 ni, 72,2 id,  0,0 wa,  2,8 hi,  0,0 si,  0,0 st
MiB Mem :   1873,8 total,    405,2 free,    946,2 used,    522,4 buff/cache
MiB Swap:   8192,0 total,   7885,0 free,    307,0 used.    614,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
2295634 damez     20   0    9244   3076   2996 S   0,0   0,2   0:00.01 tmux: c+
2296202 damez     20   0    7136   2848   2848 S   0,0   0,1   0:00.03 dmenu_m+
2296206 damez     20   0 1568388 184968  34636 S   0,0   9,6   1:41.33 telegra+
2296307 damez     20   0    7136   2756   2756 S   0,0   0,1   0:00.03 dmenu_m+
2296311 damez     20   0 1973924 319924 126832 S   0,0  16,7   6:09.41 qutebro+
2296470 damez     20   0  317492  16596   7896 S   0,0   0,9   0:00.18 QtWebEn+
2296472 damez     20   0  317492  10524   1788 S   0,0   0,5   0:00.01 QtWebEn+
2313575 damez     20   0 1547556 236652  51076 S   0,0  12,3   3:28.72 QtWebEn+
2323431 root      20   0       0      0      0 I   0,0   0,0   0:00.86 kworker+
2323440 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
2323441 root      20   0       0      0      0 I   0,0   0,0   0:00.26 kworker+
2323446 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/121+
2323451 root      20   0       0      0      0 I   0,0   0,0   0:03.72 kworker+
2329509 root      20   0       0      0      0 I   0,0   0,0   0:00.77 kworker+
2337417 root      20   0       0      0      0 I   0,0   0,0   0:01.12 kworker+
2338795 damez     20   0 1374004 138248  75820 S   0,0   7,2   0:17.34 QtWebEn+
2340595 damez     20   0    3856    212      0 S   0,0   0,0   0:00.00 xsel
2340612 damez     20   0    3880    960    820 S   0,0   0,1   0:00.00 clipnot+
2340613 damez     20   0    3880   1032    884 S   0,0   0,1   0:00.00 clipnot+
2340621 damez     20   0    3880    964    820 S   0,0   0,1   0:00.00 clipnot+
2341109 damez     20   0   25064  20012   9460 S   0,0   1,0   0:02.55 vim
2341110 damez     20   0  826148  63972  30792 S   0,0   3,3   0:02.96 node
2342475 damez     20   0 1512120  21148  17736 S   0,0   1,1   0:00.40 polybar
2342644 damez     20   0    7136   2712   2384 S   0,0   0,1   0:00.03 dmenu_m+
2342646 damez     20   0    7136   1712   1252 S   0,0   0,1   0:00.00 dmenu_m+
2342648 damez     20   0   17564  10484   8484 S   0,0   0,5   0:00.16 dmenu
2342664 root      20   0    9848   3712   3092 S   0,0   0,2   0:00.01 crond
2342665 damez     20   0    7136   2704   2380 S   0,0   0,1   0:00.01 sh
2342666 damez     20   0    7136   2844   2524 S   0,0   0,1   0:00.01 updateW+
